V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
0%,16%,0%,10%,1%,4%,4%,0%,0%,1%,1%,2%,1%,27%,1%,23%,4%,0%,0%,4%,
0%,0%,0%,0%,74%,4%,5%,0%,0%,1%,0%,0%,8%,0%,0%,3%,0%,1%,1%,2%,
0%,11%,0%,13%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,2%,46%,0%,0%,25%,
0%,58%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,26%,0%,
0%,0%,0%,1%,0%,0%,0%,0%,3%,0%,45%,4%,0%,0%,42%,0%,1%,0%,0%,1%,
0%,0%,0%,1%,1%,4%,37%,0%,0%,9%,0%,0%,43%,0%,0%,1%,0%,1%,0%,1%,
0%,1%,0%,12%,6%,1%,1%,0%,3%,0%,1%,0%,1%,0%,0%,3%,33%,0%,0%,37%,
0%,1%,6%,31%,10%,0%,0%,1%,6%,0%,5%,26%,0%,1%,0%,0%,0%,0%,4%,9%,
0%,1%,1%,6%,2%,0%,0%,57%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,30%,
0%,1%,0%,8%,0%,1%,4%,0%,0%,0%,0%,4%,0%,69%,0%,0%,0%,0%,0%,10%,
0%,0%,0%,0%,4%,66%,2%,0%,0%,0%,0%,8%,10%,0%,0%,2%,0%,0%,1%,5%,
0%,5%,0%,1%,1%,1%,1%,0%,3%,15%,0%,0%,45%,0%,1%,23%,0%,1%,0%,2%,
1%,0%,0%,0%,0%,0%,16%,0%,0%,1%,0%,52%,0%,0%,0%,0%,28%,1%,0%,0%,
1%,1%,77%,1%,1%,0%,2%,0%,0%,0%,1%,2%,0%,0%,1%,3%,1%,1%,0%,6%,
0%,0%,94%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,2%,8%,4%,1%,1%,0%,0%,15%,0%,0%,1%,0%,40%,23%,1%,0%,1%,1%,2%,
12%,0%,0%,0%,1%,1%,2%,1%,18%,0%,0%,1%,5%,0%,0%,3%,52%,1%,0%,2%,
5%,0%,2%,6%,1%,0%,3%,1%,1%,0%,0%,1%,1%,1%,4%,2%,44%,17%,0%,12%,
5%,0%,1%,0%,0%,1%,22%,0%,0%,0%,0%,11%,0%,0%,0%,2%,54%,1%,0%,3%,
1%,0%,0%,0%,0%,0%,23%,5%,0%,10%,14%,36%,0%,0%,0%,1%,1%,6%,0%,1%,
0%,1%,0%,0%,0%,48%,0%,0%,1%,45%,0%,1%,1%,0%,0%,0%,0%,0%,1%,0%,
0%,6%,0%,0%,0%,1%,0%,0%,0%,0%,0%,6%,12%,0%,0%,5%,68%,0%,0%,1%,
1%,1%,0%,2%,10%,2%,10%,0%,23%,21%,5%,7%,1%,0%,2%,2%,0%,1%,0%,13%,
0%,13%,4%,0%,0%,0%,0%,0%,0%,0%,0%,30%,1%,0%,0%,41%,0%,0%,7%,1%,
6%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,1%,75%,3%,0%,2%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
7%,0%,0%,0%,34%,32%,17%,0%,0%,4%,0%,0%,1%,0%,0%,2%,0%,1%,1%,2%,
0%,9%,0%,1%,29%,17%,1%,0%,1%,0%,0%,0%,7%,0%,17%,1%,4%,0%,0%,12%,
1%,1%,0%,0%,0%,1%,19%,0%,0%,0%,0%,4%,0%,0%,10%,14%,2%,31%,0%,17%,
1%,0%,1%,0%,2%,2%,36%,0%,16%,1%,1%,21%,0%,0%,0%,2%,0%,11%,0%,3%,
0%,1%,0%,0%,0%,63%,6%,0%,0%,0%,0%,11%,0%,0%,0%,15%,0%,2%,0%,1%,
1%,0%,60%,1%,0%,0%,16%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,19%,
1%,0%,3%,0%,1%,16%,11%,0%,0%,1%,2%,45%,0%,0%,4%,1%,0%,6%,8%,1%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
14%,2%,4%,1%,1%,0%,1%,0%,16%,0%,0%,0%,1%,0%,0%,52%,0%,1%,0%,5%,
24%,0%,0%,0%,0%,0%,35%,0%,0%,8%,23%,7%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,23%,0%,2%,30%,3%,0%,0%,6%,1%,0%,0%,0%,1%,0%,17%,0%,0%,1%,14%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,3%,0%,1%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
0%,55%,0%,1%,3%,0%,0%,0%,4%,0%,0%,0%,6%,0%,15%,1%,0%,0%,0%,13%,
0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,8%,78%,0%,0%,1%,
13%,0%,8%,3%,0%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,15%,37%,1%,0%,11%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
