V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
55%,0%,0%,0%,2%,3%,33%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,1%,0%,2%,
40%,0%,0%,0%,0%,1%,40%,0%,0%,0%,0%,13%,0%,0%,0%,1%,0%,1%,0%,1%,
58%,0%,0%,0%,3%,3%,17%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,16%,0%,0%,
1%,0%,2%,0%,0%,31%,10%,0%,0%,1%,0%,27%,0%,0%,0%,2%,0%,18%,7%,1%,
0%,2%,0%,0%,0%,1%,6%,0%,0%,4%,0%,53%,0%,0%,4%,3%,2%,22%,0%,1%,
46%,0%,0%,0%,5%,1%,38%,0%,0%,1%,0%,0%,0%,0%,0%,4%,0%,1%,0%,3%,
0%,24%,0%,14%,3%,0%,0%,0%,37%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,15%,
15%,0%,0%,0%,0%,81%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
23%,0%,17%,12%,11%,1%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,4%,
15%,0%,0%,0%,0%,81%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
1%,1%,2%,0%,37%,15%,21%,0%,0%,0%,0%,1%,1%,0%,0%,17%,0%,0%,1%,3%,
0%,1%,0%,0%,1%,83%,1%,0%,0%,0%,0%,0%,2%,0%,0%,11%,0%,0%,0%,0%,
0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,84%,0%,0%,0%,13%,
1%,0%,2%,13%,1%,0%,26%,0%,0%,0%,0%,0%,1%,0%,0%,7%,0%,25%,0%,23%,
0%,8%,0%,0%,0%,1%,1%,0%,0%,1%,0%,0%,10%,0%,13%,1%,0%,65%,0%,0%,
0%,0%,2%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,80%,
0%,1%,69%,1%,0%,0%,2%,0%,0%,0%,1%,15%,0%,0%,1%,3%,1%,1%,0%,4%,
1%,0%,0%,0%,70%,0%,6%,0%,0%,0%,18%,0%,0%,0%,1%,0%,0%,0%,0%,2%,
0%,8%,0%,0%,12%,4%,0%,0%,4%,5%,0%,7%,1%,0%,0%,55%,0%,1%,1%,1%,
0%,26%,1%,6%,0%,0%,53%,0%,0%,1%,0%,1%,0%,0%,0%,1%,2%,0%,0%,7%,
0%,0%,0%,0%,0%,0%,62%,0%,0%,1%,15%,1%,0%,0%,0%,0%,0%,0%,0%,20%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,3%,0%,1%,
0%,11%,1%,0%,4%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,48%,0%,16%,7%,9%,
10%,0%,0%,1%,50%,0%,2%,0%,1%,0%,0%,0%,1%,0%,0%,2%,0%,0%,0%,32%,
0%,1%,0%,0%,0%,1%,1%,0%,1%,3%,0%,9%,1%,3%,0%,33%,0%,33%,11%,1%,
0%,0%,0%,0%,0%,25%,1%,0%,0%,0%,0%,0%,0%,0%,71%,0%,0%,0%,0%,0%,
35%,0%,0%,0%,0%,1%,13%,0%,0%,5%,0%,1%,0%,0%,0%,18%,25%,1%,0%,2%,
0%,1%,0%,1%,6%,0%,0%,0%,16%,1%,61%,0%,7%,0%,1%,2%,0%,0%,0%,2%,
0%,27%,1%,24%,0%,0%,28%,0%,0%,1%,3%,3%,0%,0%,0%,1%,0%,8%,1%,2%,
0%,30%,0%,0%,2%,2%,7%,0%,0%,3%,0%,4%,4%,0%,0%,43%,0%,2%,1%,2%,
0%,1%,0%,92%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,0%,0%,3%,0%,0%,17%,41%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%,
0%,1%,1%,2%,21%,2%,1%,0%,1%,0%,14%,30%,1%,0%,0%,17%,0%,0%,4%,4%,
0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,8%,0%,0%,53%,1%,0%,32%,0%,1%,
6%,1%,0%,0%,46%,0%,1%,0%,1%,0%,0%,0%,1%,0%,0%,6%,0%,0%,0%,36%,
0%,7%,0%,34%,18%,1%,27%,0%,0%,4%,0%,0%,3%,0%,0%,2%,0%,0%,0%,3%,
0%,0%,0%,0%,2%,0%,0%,82%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,2%,
0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,16%,0%,1%,2%,0%,0%,0%,73%,1%,0%,1%,1%,1%,0%,1%,0%,0%,0%,2%,
0%,6%,0%,6%,1%,0%,0%,0%,0%,71%,0%,1%,0%,12%,0%,0%,0%,0%,0%,1%,
0%,0%,0%,0%,36%,1%,0%,0%,1%,26%,0%,0%,33%,0%,0%,1%,0%,0%,1%,1%,
1%,1%,0%,4%,11%,1%,9%,0%,1%,6%,0%,0%,22%,2%,0%,3%,1%,1%,0%,37%,
0%,46%,0%,0%,4%,1%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,45%,0%,
17%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,77%,0%,0%,0%,0%,2%,
0%,0%,1%,1%,2%,0%,1%,0%,1%,0%,47%,4%,4%,0%,1%,4%,1%,5%,0%,28%,
0%,2%,2%,9%,0%,2%,35%,0%,0%,0%,0%,1%,0%,0%,0%,1%,45%,0%,0%,3%,
0%,0%,24%,0%,0%,13%,1%,0%,0%,0%,0%,55%,0%,3%,0%,1%,0%,1%,1%,1%,
0%,7%,0%,0%,2%,9%,0%,0%,11%,1%,16%,22%,0%,1%,5%,1%,0%,0%,23%,0%,
16%,2%,0%,2%,0%,1%,1%,0%,32%,41%,0%,0%,0%,0%,2%,1%,0%,1%,0%,1%,
0%,3%,1%,55%,2%,0%,4%,0%,1%,1%,1%,1%,1%,1%,1%,3%,1%,0%,0%,22%,
0%,0%,73%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,22%,
36%,0%,32%,0%,20%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,1%,0%,6%,1%,0%,0%,0%,11%,1%,49%,1%,19%,0%,1%,7%,1%,0%,0%,3%,
0%,1%,0%,3%,63%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,22%,8%,
0%,1%,0%,0%,3%,0%,0%,0%,86%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,
0%,1%,0%,0%,51%,0%,1%,0%,6%,0%,1%,0%,4%,0%,0%,13%,0%,13%,0%,8%,
0%,1%,1%,18%,1%,0%,1%,0%,0%,0%,12%,2%,0%,0%,0%,4%,15%,0%,0%,44%,
0%,1%,0%,0%,56%,0%,0%,0%,38%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,0%,0%,0%,3%,14%,0%,0%,0%,0%,44%,0%,0%,0%,13%,0%,7%,0%,16%,
0%,0%,1%,2%,0%,2%,7%,0%,0%,0%,0%,48%,0%,1%,0%,5%,31%,0%,0%,2%,
0%,1%,0%,0%,3%,0%,0%,0%,49%,0%,0%,0%,39%,0%,0%,2%,0%,0%,0%,4%,
1%,2%,0%,0%,10%,1%,5%,0%,0%,28%,0%,0%,12%,0%,0%,32%,0%,5%,0%,2%,
16%,1%,1%,0%,2%,14%,2%,0%,0%,0%,0%,2%,0%,7%,0%,26%,0%,3%,17%,9%,
0%,0%,0%,60%,1%,0%,15%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,21%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,1%,13%,0%,0%,78%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,4%,
0%,1%,0%,1%,1%,1%,3%,0%,1%,83%,0%,2%,1%,0%,1%,1%,0%,1%,0%,2%,
1%,1%,1%,20%,2%,1%,41%,0%,21%,2%,0%,0%,1%,0%,0%,2%,0%,0%,0%,5%,
1%,0%,6%,2%,7%,19%,1%,0%,1%,0%,0%,1%,1%,10%,8%,0%,0%,35%,5%,2%,
1%,1%,79%,1%,1%,0%,2%,0%,0%,0%,1%,2%,0%,0%,1%,3%,0%,1%,0%,6%,
1%,1%,0%,0%,67%,1%,4%,0%,0%,1%,0%,0%,15%,0%,0%,4%,0%,2%,1%,3%,
0%,4%,0%,23%,3%,0%,1%,0%,0%,0%,0%,0%,1%,0%,44%,1%,0%,0%,0%,20%,
0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,87%,0%,0%,0%,2%,
0%,1%,0%,36%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,60%,0%,0%,1%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
73%,0%,0%,0%,3%,0%,14%,0%,0%,7%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,
0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,84%,0%,0%,0%,1%,3%,0%,0%,0%,
1%,0%,1%,0%,4%,1%,2%,0%,0%,1%,0%,0%,15%,0%,0%,10%,0%,42%,3%,19%,
0%,0%,0%,61%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,
0%,2%,2%,13%,0%,0%,64%,0%,0%,8%,0%,0%,0%,0%,0%,1%,0%,0%,0%,9%,
0%,0%,0%,54%,1%,0%,24%,2%,0%,11%,2%,0%,0%,3%,0%,0%,0%,0%,0%,2%,
0%,0%,0%,53%,0%,0%,33%,0%,0%,2%,0%,0%,0%,5%,0%,0%,0%,0%,0%,3%,
0%,0%,0%,17%,0%,0%,77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,
0%,0%,3%,52%,0%,0%,37%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,0%,0%,17%,0%,1%,73%,0%,0%,1%,0%,0%,3%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,0%,15%,0%,0%,80%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,14%,2%,6%,0%,1%,0%,1%,0%,8%,0%,0%,0%,0%,2%,0%,0%,0%,64%,
0%,0%,7%,1%,43%,0%,2%,0%,0%,1%,1%,0%,1%,0%,2%,0%,0%,0%,23%,16%,
0%,1%,27%,1%,10%,0%,1%,0%,1%,0%,6%,1%,3%,0%,1%,21%,17%,6%,0%,4%,
0%,3%,0%,10%,3%,1%,3%,0%,2%,32%,0%,1%,2%,1%,1%,2%,0%,0%,0%,38%,
0%,0%,0%,0%,1%,0%,0%,0%,7%,0%,2%,0%,9%,0%,1%,76%,0%,1%,0%,3%,
0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,95%,0%,0%,0%,0%,0%,
0%,0%,8%,0%,1%,0%,0%,0%,40%,0%,0%,1%,28%,0%,0%,4%,0%,4%,1%,11%,
54%,0%,1%,2%,1%,0%,28%,0%,0%,0%,6%,0%,0%,0%,1%,0%,0%,1%,0%,3%,
27%,0%,0%,0%,1%,16%,29%,0%,0%,2%,0%,16%,0%,0%,0%,1%,0%,1%,0%,6%,
0%,0%,0%,7%,2%,0%,41%,0%,0%,0%,43%,1%,0%,0%,0%,1%,0%,0%,0%,3%,
0%,4%,0%,0%,0%,1%,55%,0%,0%,20%,0%,0%,0%,0%,0%,16%,0%,0%,0%,1%,
0%,0%,45%,0%,0%,0%,1%,0%,0%,0%,0%,2%,0%,0%,0%,43%,1%,1%,0%,6%,
1%,1%,0%,1%,53%,0%,3%,0%,0%,0%,0%,0%,1%,0%,0%,2%,0%,0%,0%,37%,
0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
2%,0%,6%,1%,0%,0%,45%,0%,0%,0%,0%,16%,0%,0%,0%,20%,1%,1%,0%,7%,
1%,0%,86%,1%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,4%,
0%,1%,0%,1%,1%,1%,3%,0%,1%,83%,0%,2%,1%,0%,1%,1%,0%,1%,0%,2%,
0%,2%,0%,13%,2%,1%,3%,0%,1%,47%,1%,1%,1%,20%,1%,1%,0%,1%,1%,4%,
33%,8%,0%,1%,1%,1%,5%,0%,0%,14%,0%,1%,0%,0%,1%,1%,0%,32%,0%,1%,
1%,0%,0%,0%,0%,5%,17%,0%,0%,2%,0%,4%,0%,0%,0%,11%,0%,58%,0%,0%,
1%,0%,0%,1%,7%,0%,9%,0%,0%,6%,71%,0%,0%,0%,0%,1%,0%,0%,0%,4%,
0%,0%,3%,1%,0%,0%,1%,11%,0%,0%,0%,1%,0%,0%,0%,1%,75%,0%,0%,6%,
0%,0%,0%,0%,26%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,1%,0%,0%,0%,66%,
1%,2%,2%,4%,4%,1%,4%,0%,2%,1%,1%,2%,1%,1%,1%,7%,1%,1%,0%,63%,
1%,2%,56%,1%,1%,1%,3%,0%,1%,0%,1%,3%,1%,0%,1%,16%,1%,2%,1%,9%,
0%,0%,47%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,22%,1%,0%,0%,29%,
44%,0%,1%,0%,5%,1%,27%,0%,0%,0%,0%,0%,0%,0%,0%,17%,0%,3%,0%,1%,
40%,0%,1%,0%,10%,1%,22%,0%,0%,0%,0%,0%,0%,0%,0%,22%,0%,1%,0%,3%,
7%,1%,2%,0%,0%,0%,1%,0%,1%,0%,0%,7%,0%,0%,19%,7%,0%,52%,1%,2%,
52%,0%,0%,0%,14%,1%,25%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,1%,2%,2%,
46%,0%,0%,0%,9%,1%,37%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,2%,0%,2%,
0%,2%,0%,1%,0%,0%,0%,28%,1%,3%,1%,26%,1%,1%,3%,24%,5%,1%,0%,3%,
0%,11%,0%,0%,6%,1%,1%,0%,1%,2%,0%,3%,13%,0%,0%,44%,0%,1%,12%,3%,
0%,1%,29%,1%,0%,0%,3%,0%,0%,0%,0%,19%,0%,0%,0%,7%,0%,9%,8%,21%,
1%,1%,0%,1%,0%,1%,2%,0%,1%,14%,0%,11%,0%,47%,1%,3%,0%,10%,1%,3%,
0%,4%,0%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,51%,5%,
1%,19%,0%,0%,8%,0%,0%,0%,2%,0%,0%,0%,1%,0%,41%,24%,0%,0%,0%,2%,
0%,0%,0%,1%,3%,0%,1%,0%,0%,0%,57%,2%,0%,0%,0%,1%,19%,0%,0%,15%,
51%,0%,0%,0%,1%,0%,29%,2%,4%,1%,3%,0%,0%,0%,0%,3%,0%,1%,0%,2%,
34%,0%,2%,0%,1%,0%,1%,0%,0%,0%,5%,3%,0%,0%,0%,42%,0%,0%,0%,10%,
43%,1%,0%,0%,4%,31%,3%,0%,1%,0%,0%,0%,1%,0%,0%,7%,0%,1%,0%,6%,
54%,0%,0%,0%,0%,0%,39%,0%,0%,0%,0%,2%,0%,0%,0%,1%,0%,2%,0%,1%,
0%,0%,1%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,66%,1%,0%,5%,0%,24%,
0%,0%,86%,0%,0%,0%,1%,0%,0%,0%,0%,2%,0%,0%,0%,2%,0%,1%,0%,4%,
1%,0%,0%,1%,0%,2%,9%,0%,0%,5%,0%,13%,0%,0%,0%,1%,64%,1%,0%,2%,
0%,1%,0%,5%,40%,0%,3%,0%,0%,1%,23%,17%,0%,0%,0%,1%,0%,0%,0%,7%,
1%,1%,68%,3%,1%,0%,3%,0%,0%,0%,1%,2%,0%,0%,1%,3%,1%,1%,0%,13%,
0%,4%,0%,1%,53%,1%,2%,0%,1%,0%,0%,0%,4%,0%,0%,28%,0%,0%,1%,3%,
0%,3%,1%,5%,3%,0%,1%,1%,5%,0%,1%,12%,0%,0%,0%,2%,21%,0%,0%,44%,
0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,80%,0%,0%,0%,13%,1%,0%,0%,3%,
0%,0%,79%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,14%,
0%,1%,0%,0%,0%,1%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
1%,0%,0%,0%,36%,8%,41%,0%,0%,0%,0%,0%,1%,0%,0%,9%,0%,1%,0%,1%,
0%,1%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,0%,0%,0%,0%,0%,21%,
1%,0%,0%,0%,9%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,2%,0%,71%,0%,14%,
1%,0%,0%,2%,30%,0%,22%,0%,1%,6%,27%,0%,1%,0%,0%,3%,0%,1%,0%,5%,
1%,0%,9%,2%,2%,0%,13%,1%,0%,0%,53%,2%,0%,0%,0%,6%,1%,1%,0%,8%,
50%,0%,0%,0%,1%,0%,34%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,12%,
1%,6%,14%,1%,21%,0%,18%,0%,0%,12%,0%,1%,1%,0%,1%,5%,0%,2%,0%,17%,
0%,1%,0%,0%,54%,0%,0%,0%,1%,0%,0%,0%,13%,0%,0%,10%,0%,0%,0%,19%,
0%,0%,89%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,3%,
0%,7%,0%,2%,23%,0%,1%,0%,0%,1%,0%,0%,40%,0%,0%,2%,0%,0%,0%,24%,
0%,2%,6%,1%,0%,0%,2%,0%,1%,0%,0%,7%,0%,0%,38%,12%,5%,1%,0%,25%,
29%,0%,0%,0%,66%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
25%,0%,0%,0%,50%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%,3%,0%,1%,0%,16%,
1%,0%,0%,0%,1%,68%,24%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,1%,0%,1%,
0%,1%,2%,0%,0%,0%,3%,0%,0%,0%,0%,1%,0%,0%,56%,8%,0%,0%,0%,26%,
9%,0%,0%,0%,6%,7%,75%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,
0%,1%,9%,2%,1%,0%,1%,0%,14%,0%,5%,1%,1%,2%,1%,54%,1%,1%,0%,6%,
0%,4%,0%,1%,19%,0%,0%,0%,28%,1%,0%,0%,2%,0%,0%,27%,0%,0%,8%,7%,
1%,1%,0%,0%,64%,1%,7%,0%,0%,0%,0%,0%,1%,0%,0%,22%,0%,0%,0%,2%,
0%,0%,3%,1%,2%,0%,3%,0%,2%,0%,20%,1%,10%,0%,0%,48%,0%,1%,0%,6%,
1%,1%,45%,3%,2%,0%,1%,1%,5%,0%,10%,2%,0%,1%,1%,4%,1%,1%,0%,23%,
0%,1%,3%,18%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,49%,0%,0%,0%,0%,26%,
4%,1%,1%,0%,27%,0%,3%,4%,0%,0%,1%,3%,0%,0%,0%,43%,0%,0%,0%,10%,
12%,1%,2%,11%,1%,0%,6%,0%,1%,1%,0%,0%,1%,0%,26%,7%,0%,6%,0%,25%,
31%,0%,0%,0%,63%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,4%,
0%,0%,49%,0%,0%,0%,19%,0%,0%,0%,0%,10%,0%,0%,0%,10%,0%,7%,0%,4%,
0%,0%,0%,0%,1%,0%,1%,0%,3%,15%,0%,1%,6%,0%,0%,29%,0%,11%,0%,32%,
1%,0%,35%,0%,1%,1%,4%,0%,0%,0%,0%,2%,1%,0%,1%,3%,0%,47%,1%,2%,
0%,1%,0%,9%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,78%,
90%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,54%,0%,0%,1%,0%,0%,0%,35%,
1%,3%,0%,1%,64%,1%,6%,0%,1%,1%,0%,0%,1%,0%,0%,12%,0%,0%,0%,10%,
0%,43%,2%,12%,1%,0%,1%,0%,1%,0%,0%,1%,1%,1%,0%,29%,1%,0%,0%,6%,
0%,2%,0%,0%,60%,7%,2%,0%,0%,0%,0%,0%,17%,0%,0%,7%,0%,0%,0%,2%,
0%,1%,0%,1%,58%,0%,5%,0%,1%,5%,7%,0%,7%,0%,0%,4%,0%,1%,0%,9%,
0%,3%,0%,1%,48%,1%,10%,0%,0%,0%,0%,0%,3%,0%,0%,26%,0%,0%,0%,6%,
0%,1%,0%,0%,43%,5%,9%,0%,0%,3%,0%,0%,6%,0%,0%,24%,0%,0%,0%,7%,
0%,1%,17%,2%,18%,0%,1%,0%,0%,0%,0%,0%,14%,0%,0%,1%,0%,1%,27%,16%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,
0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,0%,0%,0%,31%,
0%,2%,0%,7%,1%,0%,0%,0%,0%,0%,0%,0%,57%,0%,0%,1%,0%,0%,0%,31%,
0%,0%,0%,5%,2%,0%,10%,0%,0%,32%,8%,0%,15%,0%,0%,1%,0%,0%,0%,24%,
0%,9%,0%,1%,0%,2%,1%,0%,0%,0%,0%,31%,0%,0%,1%,7%,14%,0%,0%,31%,
21%,0%,30%,0%,18%,2%,19%,0%,0%,0%,0%,0%,1%,0%,0%,2%,0%,1%,1%,3%,
0%,1%,69%,1%,0%,0%,2%,0%,0%,0%,1%,15%,0%,0%,1%,3%,1%,1%,0%,4%,
9%,1%,0%,1%,12%,1%,21%,0%,1%,1%,0%,0%,1%,0%,0%,22%,0%,1%,0%,29%,
0%,1%,1%,1%,2%,0%,0%,0%,21%,0%,0%,1%,1%,0%,0%,5%,0%,0%,0%,64%,
0%,2%,0%,3%,0%,1%,7%,0%,3%,0%,0%,0%,0%,0%,0%,22%,23%,0%,0%,36%,
0%,1%,0%,14%,0%,0%,1%,0%,0%,0%,0%,0%,0%,43%,0%,14%,0%,0%,0%,26%,
0%,1%,0%,0%,69%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,20%,0%,0%,0%,7%,
13%,0%,0%,3%,31%,0%,4%,1%,19%,12%,10%,0%,0%,0%,0%,0%,0%,0%,0%,5%,
1%,0%,35%,0%,1%,1%,4%,0%,0%,0%,0%,2%,1%,0%,1%,3%,0%,47%,1%,2%,
0%,0%,0%,1%,0%,0%,0%,42%,0%,0%,2%,1%,0%,0%,0%,0%,53%,0%,0%,1%,
89%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
1%,1%,0%,0%,0%,9%,4%,0%,0%,3%,0%,56%,0%,0%,13%,3%,0%,4%,4%,1%,
0%,1%,1%,21%,1%,0%,5%,0%,0%,0%,10%,0%,0%,0%,53%,0%,0%,0%,0%,6%,
0%,1%,0%,37%,0%,0%,2%,0%,0%,1%,1%,2%,0%,0%,5%,0%,47%,0%,0%,2%,
0%,1%,0%,18%,0%,4%,2%,0%,0%,2%,0%,17%,0%,0%,0%,0%,55%,0%,0%,1%,
0%,45%,0%,0%,1%,0%,0%,0%,1%,0%,0%,1%,1%,0%,0%,38%,0%,0%,0%,11%,
0%,32%,0%,1%,1%,0%,0%,0%,3%,1%,20%,3%,0%,0%,2%,20%,1%,0%,0%,15%,
0%,13%,0%,0%,7%,0%,0%,0%,1%,17%,0%,11%,1%,0%,0%,42%,0%,0%,0%,5%,
0%,0%,0%,0%,0%,1%,2%,0%,0%,4%,0%,40%,7%,0%,1%,2%,0%,40%,0%,1%,
1%,1%,0%,1%,0%,1%,17%,0%,4%,1%,8%,1%,1%,12%,4%,43%,1%,2%,0%,3%,
87%,0%,0%,0%,1%,0%,2%,0%,0%,0%,3%,0%,0%,0%,0%,5%,0%,1%,0%,1%,
0%,0%,8%,0%,0%,1%,1%,0%,0%,0%,0%,7%,0%,0%,64%,1%,0%,16%,0%,1%,
1%,0%,81%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,8%,0%,2%,
0%,1%,0%,2%,18%,0%,1%,13%,1%,1%,57%,0%,0%,0%,0%,1%,0%,1%,0%,3%,
60%,0%,2%,4%,1%,0%,3%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,27%,
1%,0%,1%,0%,0%,1%,50%,0%,0%,0%,0%,1%,0%,0%,15%,1%,0%,30%,0%,1%,
54%,0%,0%,0%,4%,0%,39%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,
54%,0%,0%,0%,4%,0%,39%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,
0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,1%,0%,0%,1%,1%,1%,0%,1%,8%,0%,2%,1%,0%,72%,1%,0%,11%,0%,1%,
0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
0%,25%,0%,6%,2%,0%,0%,0%,48%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,1%,
12%,0%,41%,0%,4%,0%,29%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,10%,
0%,1%,0%,0%,25%,1%,0%,0%,8%,0%,0%,0%,1%,0%,0%,0%,0%,0%,62%,1%,
1%,2%,1%,1%,1%,1%,2%,0%,1%,1%,0%,1%,1%,0%,82%,1%,0%,2%,0%,3%,
0%,0%,86%,3%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,4%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,3%,0%,1%,
0%,1%,0%,0%,3%,75%,0%,0%,5%,0%,0%,0%,2%,0%,0%,11%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,2%,0%,2%,0%,2%,2%,0%,1%,8%,1%,48%,0%,24%,1%,2%,1%,2%,1%,4%,
0%,1%,7%,10%,0%,0%,7%,0%,0%,49%,0%,6%,1%,0%,0%,3%,0%,1%,2%,11%,
0%,1%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,37%,0%,10%,0%,0%,0%,31%,
96%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,92%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
1%,0%,4%,0%,0%,1%,12%,0%,0%,0%,0%,7%,0%,0%,63%,0%,1%,9%,0%,1%,
